MATMOTW,OUI,NOTES,ORIGINAL_FORMAT,DATE,MATMOTW_PART,GB_FILE_NAME,TC_LABEL,START_TIME,TIMECODE_ELAPSED,CONVO_SILENCE,CORRECTED _START_TIME,REXPORTED,MASTERING_NOTES
301,TC_111,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-15,1,TC_111_01,790115 1/2 Piano at Hallwalls,00:00-02:53,02:54:00,HVD,,N,
302,TC_111,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-15,2,TC_111_01,790115 1/2 Piano at Hallwalls,03:35-29:58,26:23:00,HVD,,N,
303,TC_111,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-15,3,TC_111_02,790115 1/2 Piano at Hallwalls,02:39-30:00,27:19:00,HVD,,N,
304,TC_112,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-16,1,TC_112_01,790116 1/2 Piano at Hallwalls,00:30-25:38,25:08:00,HVD,,N,
305,TC_112,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-16,2,TC_112_01,790116 1/2 Piano at Hallwalls,25:57-30:33,04:36:00,HVD,,N,
306,TC_112,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-16,3,TC_112_02,790116 1/2 Piano at Hallwalls,00:16-10:02,09:45:00,HVD,00:16-10:02,Y,
307,TC_113,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-17,1,TC_113_01,790117 1/2 Piano at Hallwalls,00:00-30:43,30:43:00,HVD,,N,
308,TC_113,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-17,2,TC_113_02,790117 1/2 Piano at Hallwalls,00:00-30:48,30:45:00,HVD,,N,
309,TC_114,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-18,1,TC_114_01,790118 1/2 Piano at Hallwalls. SOME OF THE 88's.,00:00-29:55,29:54:00,HVD,,N,
310,TC_114,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-18,2,TC_114_02,790118 1/2 Piano at Hallwalls. SOME OF THE 88's.,00:00-23:24,23:25:00,HVD,,N,
311,TC_115,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-20,1,TC_115_01,790120 1/2 Piano at Hallwalls,00:00-30:54,30:54:00,HVD,,N,
312,TC_115,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-20,2,TC_115_02,790120 1/2 Piano at Hallwalls,00:00-30:54,30:53:00,HVD,,N,
313,TC_116,,8mm Cassette,1979-01-25,,TC_116_02,79012113 Jan 21 (short) / 790123 3 / 790125 1/2,00:00-30:54,30:54:00,HVD,,N,
314,TC_116,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-23,3,TC_116_01,79012113 Jan 21 (short) / 790123 3 / 790125 1/2,24:39-30:53,06:14:00,HVD,,N,
315,TC_116,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-21,3,TC_116_01,790121 Jan 21 (short) / 790123 3 / 790125 1/2,04:46-24:35,19:50:00,HVD,,N,
316,TC_116,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-21,4,TC_116_01,790121Jan 21 (short) / 790123 3 / 790125 1/2,00:09-04:44,04:36:00,HVD,,N,
317,TC_117,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-21,1,TC_117_01,790121 1/2 Piano at Hallwalls,00:00-30:52,30:49:00,HVD,Talking 02:40-3:14,N,
318,TC_117,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-21,2,TC_117_02,790121 1/2 Piano at Hallwalls,00:08-30:59,30:51:00,HVD,,N,"Drop outs, distortion"
319,TC_118,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-22,1,TC_118_01,790122 1/2 Piano at Hallwalls,00:00-30:55,30:52:00,HVD,29:09-29:24 Silence,N,
320,TC_118,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-22,2,TC_118_02,790122 1/2 Piano at Hallwalls,00:00-30:46,30:45:00,HVD,,N,
321,TC_119,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-23,1,TC_119_01,790123 1/2 Piano at Hallwalls (at head s 2: long solo by Larry Lundy),00:00-31:00,30:55:00,HVD,00:00-31:00,Y,
322,TC_119,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-23,2,TC_119_02,790123 1/2 Piano at Hallwalls (at head s 2: long solo by Larry Lundy),00:00-31:17,31:08:00,HVD,,N,
323,TC_120,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-24,1,TC_120_01,790124 1/2 Piano at Hallwalls,00:00-30:38,30:38:00,"HVD
",27:51-28:11 Long Silence,N,
324,TC_120,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-01-24,2,TC_120_02,790124 1/2 Piano at Hallwalls,00:00-06:42,06:39:00,"HVD: long pause at 6:40, same performance though?",00:00-06:42,Y,
325,TC_121,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-02-05,1,TC_121_01,790205 Piano at Hallwalls (about 2/3 side 1),00:59-16:40,15:41:00,HVD,,N,R channel drop outs/distortion
326,TC_121,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-02-05,2,TC_121_01,790205 Piano at Hallwalls (about 2/3 side 1),16:53-20:50,03:57:00,HVD,,N,R channel drop outs/distortion
327,TC_122,X,8mm Cassette,X,X,X,790212,X,x,,,,
328,TC_123,,8mm Cassette,1979-02-26,,TC_123_02,790213 Weber / 790226,00:13-28:42,28:29:00,HVD,,N,
329,TC_123,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-02-13,,TC_123_01,790213 Weber / 790226,00:02-23:33,23:28:00,"HVD: 23:33 half min with no piano
",00:02-23:33,Y,
330,TC_124,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-02-27,1,TC_124_01,790227 1/2 Weber (C-30),00:02-15:51,15:49:00,HVD,,N,
331,TC_124,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-02-27,2,TC_124_02,790227 1/2 Weber (C-30),00:02-15:51,15:50:00,HVD,,N,
332,TC_125,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-02-28,1,TC_125_01,"790228 1/2 W (concluded on tape ""Pi copy"")",09:52-16:07,06:15:00,HVD,,N,
333,TC_126,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-02-28,2,TC_126_01,790228 3 W (short segment in middle side 1) / PI,00:21-01:00,00:40:00,HVD,,N,
334,TC_126,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-02-28,3,TC_126_01,790228 3 W (short segment in middle side 1) / PI,01:29-15:24,13:56:00,HVD,,N,
335,TC_126,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-02-28,4,TC_126_02,790228 3 W (short segment in middle side 1) / PI,00:00-15:30,15:28:00,HVD,,N,
336,TC_127,,8mm Cassette,1979-03-22,1,TC_127_02,790319 / 790322,00:03-16:15,16:06:00,HVD,,N,
337,TC_127,,8mm Cassette,1979-03-22,2,TC_127_02,790319 / 790322,16:17-25:15,08:58:00,HVD,,N,
338,TC_127,,8mm Cassette,1979-03-19,,TC_127_01,790319 / 790322,00:10-30:09,30:00:00,HVD,,N,
339,TC_128,,8mm Cassette,1979-04-06,1,TC_128_01,790406 1/2,00:05-05:37,05:33:00,HVD,,N,
340,TC_128,,8mm Cassette,1979-04-06,2,TC_128_02,790406 1/2,00:07-30:24,30:16:00,,,N,
341,TC_129,"Peterborough, Ontario.",8mm Cassette,1979-04-25,1,TC_129_01,"790425 ""Tiding Over"" at Peterborough Ontario (one side)",00:01-02:36,02:33:00,HVD,,N,"R channel drop outs, distortion. Fix or make mono"
342,TC_129,"Peterborough, Ontario.",8mm Cassette,1979-04-25,2,TC_129_01,"790425 ""Tiding Over"" at Peterborough Ontario (one side)",02:52-23:00,20:05:00,"HVD:from 3:02 no piano for 1.5 min, also at 37:00",02:52-23:00,Y,"R channel drop outs, distortion. Fix or make mono"
343,TC_130,,8mm Cassette,1979-05-20,1,TC_130_01,790520 1/2,00:04-30:48,30:43:00,HVD,,N,
344,TC_130,,8mm Cassette,1979-05-20,2,TC_130_02,790520 1/2,00:00-25:43,25:41:00,HVD,,N,
345,TC_131,With Andre.,8mm Cassette,1979-05-20,3,TC_131_01,790520 3/4 (with Andre Zdravic),00:00-30:55,30:54:00,HVD - no piano side 2 26:00,,N,R channel drop outs/distortion 14:00
346,TC_131,With Andre.,8mm Cassette,1979-05-20,4,TC_131_02,790520 3/4 (with Andre Zdravic),00:00-30:55,30:51:00,HVD,,N,
347,TC_132,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-21,1,TC_132_01,790521 1/2 W,00:00-30:47,30:47:00,HVD,,N,
348,TC_132,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-21,2,TC_132_02,790521 1/2 W,00:00-08:04,08:05:00,HVD,,N,
349,TC_132,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-21,3,TC_132_02,790521 1/2 W,08:09-12:15,04:07:00,HVD,,N,
350,TC_133,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-23,1,TC_133_01,790523 1/2 Weber Getting Better!,00:00-16:04,16:04:00,HVD,,N,
351,TC_133,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-23,2,TC_133_01,790523 1/2 Weber Getting Better!,16:08-30:37,14:29:00,HVD,,N,
352,TC_133,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-23,3,TC_133_02,790523 1/2 Weber Getting Better!,00:00-26:24,26:24:00,HVD:no piano 3:40-4:05,,N,
353,TC_133,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-23,4,TC_133_02,790523 1/2 Weber Getting Better!,26:28-30:49,04:20:00,HVD,,N,
354,TC_134,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-24,1,TC_134_01,790524 1/2 W,00:00-30:51,30:49:00,HVD Pauses/talking,,N,
355,TC_134,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-24,2,TC_134_02,790524 1/2 W,00:00-30:48,30:47:00,HVD,,N,
356,TC_135,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-24,3,TC_135_01,790524 3 W (Fragment) / 790527 1/2,00:00-03:34,03:32:00,HVD,,N,
357,TC_135,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-27,1,TC_135_01,790524 3 W (Fragment) / 790527 1/2,03:37-22:13,18:33:00,HVD,03:37-22:13,Y,
358,TC_135,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-27,2,TC_135_02,790524 3 W (Fragment) / 790527 1/2,00:00-30:56,30:55:00,HVD,,N,
359,TC_136,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-28,1,TC_136_01,"790528 1/2 Weber (at head s 2: first test of ""player piano"" (vorsetzer))",00:00-14:10,14:10:00,HVD,,N,
360,TC_136,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-28,2,TC_136_01,"790528 1/2 Weber (at head s 2: first test of ""player piano"" (vorsetzer))",14:16-30:43,16:27:00,HVD,,N,
361,TC_136,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-05-28,3,TC_136_02,"790528 1/2 Weber (at head s 2: first test of ""player piano"" (vorsetzer))",00:00-30:36,30:36:00,HVD,,N,
362,TC_137,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-04,1,TC_137_01,790604 W / 790605 1 / David's cembalom 6/3/79 (at head s 1),27:15-43:50,16:35:00,HVD,,N,
363,TC_137,David's cimbalom.,8mm Cassette,1979-06-03,,TC_137_01,790604 W / 790605 1 / David's cembalom 6/3/79 (at head s 1),00:00-13:57,13:53:00,HVD,00:00-13:57,Y,
364,TC_137,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-05,,TC_137_02,790604 W / 790605 1 / David's cembalom 6/3/79 (at head s 1),00:00-43:45,43:45:00,HVD,,N,
365,TC_138,David's cimbalom.,8mm Cassette,1979-06-02,1,TC_138_01,790605 2 W (one side) / David's cembalom 6/2/79 (at head),00:00-14:58,14:58:00,HVD,,N,
366,TC_138,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-02,2,TC_138_01,790605 2 W (one side) / David's cembalom 6/2/79 (at head),15:10-43:35,28:25:00,HVD,,N,
367,TC_139,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-06,1,TC_139_01,790606 1/2 W,00:00-05:38,05:38:00,HVD,,N,
368,TC_139,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-06,2,TC_139_01,790606 1/2 W,05:42-30:30,24:48:00,HVD,,N,
369,TC_139,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-06,3,TC_139_02,790606 1/2 W,00:00-30:38,30:38:00,HVD,,N,
370,TC_140,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-11,1,TC_140_01,790611 1/2 W,00:00-30:38,30:38:00,HVD,,N,
371,TC_140,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-11,2,TC_140_02,790611 1/2 W,00:00-30:41,30:41:00,HVD,,N,
372,TC_141,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-11,3,TC_141_01,790611 3 (one side),00:00-30:55,30:55:00,HVD,,N,
373,TC_142,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-12,1,TC_142_01,790612 1/2 W,00:00-30:49,30:49:00,HVD,,N,
374,TC_142,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-12,2,TC_142_02,790612 1/2 W,00:04-12:14,12:10:00,HVD,,N,
375,TC_142,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-12,3,TC_142_02,790612 1/2 W,12:17-30:49,18:32:00,HVD,,N,
376,TC_143,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-12,4,TC_143_01,790612 3 (one side),00:00-30:52,30:52:00,HVD,,N,
377,TC_144,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-13,1,TC_144_02,790613 1 W (one side) / Sweet Rose of Heaven/.../birds/Heat Wave,00:00-30:45,30:44:00,HVD,,N,
378,TC_144,X,8mm Cassette,X,X,X,790613 1 W (one side) / Sweet Rose of Heaven/.../birds/Heat Wave,X,x,,,,
379,TC_145,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-13,2,TC_145_01,790613 2 W (1/2 side) / Peter Gordon/Eno records,00:00-15:04,15:04:00,HVD,,N,
380,TC_145,X,8mm Cassette,X,X,X,790613 2 W (1/2 side) / Peter Gordon/Eno records,X,x,,,,
381,TC_146,"The Kitchen. New York, New York.",8mm Cassette,1979-06-14,,TC_146_01,790614 Kitchen Piano (warmup) (1/2 side),00:04-23:31,23:27:00,HVD,,N,
382,TC_147,,8mm Cassette,"1979-06-18, 1979-08-20",1,TC_147_01,790618 1/2 / 790820 2,00:00-00:14,00:14:00,HVD,,N,
383,TC_147,,8mm Cassette,"1979-06-18, 1979-08-20",2,TC_147_01,790618 1/2 / 790820 2,00:56-30:45,29:50:00,HVD,,N,
384,TC_147,,8mm Cassette,"1979-06-18, 1979-08-20",3,TC_147_02,790618 1/2 / 790820 2,00:06-10:20,10:13:00,HVD,,N,
385,TC_147,,8mm Cassette,"1979-06-18, 1979-08-20",4,TC_147_02,790618 1/2 / 790820 2,10:23-14:18,03:56:00,HVD,,N,
386,TC_147,,8mm Cassette,"1979-06-18, 1979-08-20",5,TC_147_02,790618 1/2 / 790820 2,14:25-20:53,06:27:00,HVD,,N,
387,TC_147,,8mm Cassette,"1979-06-18, 1979-08-20",6,TC_147_02,790618 1/2 / 790820 2,21:01-30:49,09:47:00,HVD,,N,
388,TC_148,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-19,1,TC_148_01,790619 W (all but last few minutes) / 790620 1/2,00:04-26:04,25:57:00,HVD,,N,Distortion in R channel first few min
389,TC_148,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-19,2,TC_148_01,790619 W (all but last few minutes) / 790620 1/2,26:22-30:20,03:59:00,HVD,,N,
390,TC_148,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-19,3,TC_148_02,790619 W (all but last few minutes) / 790620 1/2,00:00-30:20,30:20:00,HVD,,N,
391,TC_149,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-29,1,TC_149_01,790629 1/2 W,00:00-28:39,28:39:00,HVD,,N,
392,TC_149,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-29,2,TC_149_02,790629 1/2 W,00:00-23:59,23:59:00,HVD,,N,
393,TC_149,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-06-29,3,TC_149_02,790629 1/2 W,24:11-30:39,06:27:00,HVD,,N,
394,TC_150,,8mm Cassette,1979-07-Unknown,1,TC_150_01,7907## 1/2 June or July (?). 1 & 2 (2/3 of side 2),00:00-30:23,30:20:00,HVD: 20:40- 22:08 no piano,Tons of pauses_ intentional,N,
395,TC_150,,8mm Cassette,1979-07-Unknown,2,TC_150_02,7907## 1/2 June or July (?). 1 & 2 (2/3 of side 2),00:00-07:52,07:50:00,HVD,,N,
396,TC_151,,8mm Cassette,"1979-07-16, 1979-07-17, 1979-07-19",,TC_151_02,790717 1 W (1 of 1)(one side) / Car radio Buffalo Country 7/16-17/79,00:02-30:54,30:51:00,HVD,,N,
397,TC_151,X,8mm Cassette,X,X,X,790717 1 W (1 of 1)(one side) / Car radio Buffalo Country 7/16-17/79,X,x,,,,
398,TC_152,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-08-06,,TC_152_02,790805 W (except few min @ head) / 790806 / Eno @ Collective 6/15/79,00:00-31:09,31:09:00,HVD,,N,
399,TC_152,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-08-05,,TC_152_01,790805 W (except few min @ head) / 790806 / Eno @ Collective 6/15/79,06:13-31:09,24:55:00,HVD,,N,
400,TC_153,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-08-08,1,TC_153_02,790807 1/2 W / 790808 1,00:00-14:16,14:12:00,HVD,,N,
401,TC_153,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-08-08,2,TC_153_02,790807 1/2 W / 790808 1,14:35-30:34,15:59:00,HVD,,N,
402,TC_153,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-08-07,1,TC_153_01,790807 1/2 W / 790808 1,00:02-23:27,23:23:00,HVD,00:02-23:27,Y,"Only one channel, needs to be mono?"
403,TC_154,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-08-08,3,TC_154_01,790808 2 W (one side),00:00-25:13,25:13:00,HVD,,N,
404,TC_154,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-08-08,4,TC_154_01,790808 2 W (one side),25:21-30:43,05:21:00,HVD,,N,
405,TC_154,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-08-08,5,TC_154_02,790808 2 W (one side),00:20-06:42,06:21:00,HVD,00:20-06:42,Y,
406,TC_155,"WYSO radio station. Antioch College. Yellow Springs, Ohio.",8mm Cassette,1979-08-13,,TC_155_01,79081315 Yellow Springs / 79081618 / WYSO 8/79,05:47-30:47,24:58:00,HVD,,N,
407,TC_155,"WYSO radio station. Antioch College. Yellow Springs, Ohio.",8mm Cassette,"1979-08-16, 1979-08-18",1,TC_155_02,79081315 Yellow Springs / 79081618 / WYSO 8/79,00:00-03:03,03:03:00,HVD,,N,
408,TC_155,"WYSO radio station. Antioch College. Yellow Springs, Ohio.",8mm Cassette,"1979-08-16, 1979-08-18",2,TC_155_02,79081315 Yellow Springs / 79081618 / WYSO 8/79,21:15-31:30,10:14:00,HVD,,N,
409,TC_156,"Yellow Springs, Ohio. Ted's piano.",8mm Cassette,1979-08-18,1,TC_156_01,"79081819 Teddy's Piano / Radio drama ""Unshackled"" / Singing 8/79",00:00-04:50,04:47:00,HVD,,N,
410,TC_156,"Yellow Springs, Ohio. Ted's piano.",8mm Cassette,1979-08-18,2,TC_156_01,"79081819 Teddy's Piano / Radio drama ""Unshackled"" / Singing 8/79",05:04-07:02,01:55:00,"HVD someone shouting ""HELLOOO"" at very end",,N,
411,TC_156,"Yellow Springs, Ohio. Ted's piano.",8mm Cassette,1979-08-18,3,TC_156_01,"79081819 Teddy's Piano / Radio drama ""Unshackled"" / Singing 8/79",07:03-07:19,00:16:00,HVD,,N,
412,TC_157,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-08-20,,TC_157_02,790820 1 W (part of side 2) / Car radio 8/19/79 Singing,13:16-30:52,17:34:00,HVD,,N,
413,TC_157,X,8mm Cassette,X,X,X,790820 1 W (part of side 2) / Car radio 8/19/79 Singing,X,x,,,,
414,TC_158,,8mm Cassette,"1979-08-22, 1979-09-04, 1979-09-12, 1979-09-16",1,TC_158_01,790822 Weber(pt of s1) / 790904 2 / 790912 / 790916 / FilmVO 9/26/79,00:00-09:55,09:56:00,HVD short stop around 11:00,,N,
415,TC_158,,8mm Cassette,"1979-08-22, 1979-09-04, 1979-09-12, 1979-09-16",2,TC_158_01,790822 Weber(pt of s1) / 790904 2 / 790912 / 790916 / FilmVO 9/26/79,10:00-26:25,16:25:00,HVD,,N,
416,TC_158,,8mm Cassette,"1979-08-22, 1979-09-04, 1979-09-12, 1979-09-16",3,TC_158_01,790822 Weber(pt of s1) / 790904 2 / 790912 / 790916 / FilmVO 9/26/79,26:37-47:15,20:39:00,HVD,,N,
417,TC_158,,8mm Cassette,"1979-08-22, 1979-09-04, 1979-09-12, 1979-09-16",4,TC_158_02,790822 Weber(pt of s1) / 790904 2 / 790912 / 790916 / FilmVO 9/26/79,00:10-11:36,11:25:00,HVD,,N,
418,TC_158,,8mm Cassette,"1979-08-22, 1979-09-04, 1979-09-12, 1979-09-16",5,TC_158_02,790822 Weber(pt of s1) / 790904 2 / 790912 / 790916 / FilmVO 9/26/79,11:59-24:45,12:48:00,HVD,,N,R channel missing
419,TC_159,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-08-23,1,TC_159_01,790823 W,00:00-28:12,28:12:00,HVD,,N,
420,TC_159,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-08-23,2,TC_159_01,790823 W,28:18-31:06,02:49:00,HVD,,N,
421,TC_160,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-08-25,1,TC_160_01,790825 1/2 W,00:00-30:41,30:42:00,HVD,,N,
422,TC_160,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-08-25,2,TC_160_02,790825 1/2 W,00:00-30:40,30:38:00,"HVD feedback noise, shuffling around 5:40-6:00, pause 7:18-7:34",slightly cutoff at end,N,
423,TC_161,,8mm Cassette,1979-09-03,,TC_161_01,790903 / 790904 1,00:00-30:31,30:27:00,HVD,,N,
424,TC_161,,8mm Cassette,1979-09-04,,TC_161_02,790903 / 790904 1,00:00-30:56,30:53:00,HVD,,N,
425,TC_162,,8mm Cassette,1979-09-05,,TC_162_01,790905 W,00:00-30:50,30:43:00,HVD end sounds like it's cut off,,N,
426,TC_163,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-10-16,,TC_163_01,791016 W (2 EV mikes) / 791018,00:00-07:42,07:39:00,HVD 7:40-8:14 silence,00:00-07:42,Y,
427,TC_163,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-10-18,,TC_163_02,791016 W (2 EV mikes) / 791018,00:00-47:03,47:01:00,,,N,
428,TC_164,,8mm Cassette,1979-10-25,1,TC_164_02,791022 W (date approximate) / 791025,00:00-09:32,09:25:00,HVD 9:53 session break? 29:12-29:28 silence,00:00-09:32,Y,
429,TC_164,,8mm Cassette,1979-10-25,2,TC_164_02,791022 W (date approximate) / 791025,09:48-37:31,27:42:00,HVD ending cut off,09:48-37:31,Y,
430,TC_164,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-10-22,1,TC_164_01,791022 W (date approximate) / 791025,00:04-12:49,12:44:00,HVD,00:04-12:49,Y,
431,TC_165,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-10-26,1,TC_165_01,791026 1/2 W,00:04-30:23,30:20:00,HVD singing at beginning and at 1:07-2:00,,N,
432,TC_165,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-10-26,2,TC_165_02,791026 1/2 W,00:00-31:46,31:45:00,HVD pause 15:10-15:25,slightly cutoff at end,N,
433,TC_166,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-10-28,1,TC_166_01,791028 1/2 W,00:00-15:31,15:25:00,"HVD someone shouting first ~2 mins, then from 3:30- 4:30, pause 9:40-9:56, 10:02-10:12",00:00-15:31,Y,
434,TC_166,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-10-28,2,TC_166_02,791028 1/2 W,00:00-31:35,31:34:00,HVD end cut off,,N,
435,TC_167,X,8mm Cassette,X,X,X,"791102 MANY SHORT PIECES: ""Any Time""",X,x,,,,
436,TC_168,"PS1. Long Island City, New York. Steinway piano.",8mm Cassette,1979-11-04,1,TC_168_01,791104 A P.S.1 Warmup (Steinway) / 791110,00:04-11:24,11:18:00,"almost entirely same as 437, this file needs to be regenerated",00:04-11:24,Y,
437,TC_168,,8mm Cassette,1979-11-10,,TC_168_01,791104 A P.S.1 Warmup (Steinway) / 791110,13:35-28:25,14:45:00,"HVD 11:06-13:26 long pause, faint talking, room noises",13:35-28:25,Y,
438,TC_169,"PS1. Long Island City, New York. Steinway piano.",8mm Cassette,1979-11-04,2,TC_169_01,791104 B P.S.1 Concert (Steinway) / David's cembalom 11/4/79,00:00-37:11,36:16:00,HVD,,N,
439,TC_169,David's cimbalom.,8mm Cassette,1979-11-04,3,TC_169_01,791104 B P.S.1 Concert (Steinway) / David's cembalom 11/4/79,37:17-47:16,10:00:00,HVD end a bit cut off,,N,
440,TC_170,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-11-16,1,TC_170_01,791116 1/2 W 1 & 2 (of 2 1/2),00:04-31:03,30:59:00,HVD,,N,Low levels
441,TC_170,"University at Buffalo, New York. Weber piano.",8mm Cassette,1979-11-16,2,TC_170_02,791116 1/2 W 1 & 2 (of 2 1/2),00:00-31:03,31:02:00,"HVD silence 6:45-6:58, 6:58-7:16, 22:30- 23:00, session break 29:10-29:18?",,N,
442,TC_171,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-11-18,,TC_171_01,791118 Hallwalls Piano (part of one side),00:08-11:24,11:16:00,HVD,,N,
443,TC_172,"Hallwalls Contemporary Art Center. Buffalo, New York. Stuyvesant Pianola piano.",8mm Cassette,1979-11-21,1,TC_172_01,791121 Hallwalls Piano (Stuyvesant pianola),00:00-30:57,30:56:00,HVD,00:00-30:57,Y,
444,TC_172,"Hallwalls Contemporary Art Center. Buffalo, New York. Stuyvesant Pianola piano.",8mm Cassette,1979-11-21,2,TC_172_02,791121 Hallwalls Piano (Stuyvesant pianola),00:02-29:26,29:25:00,HVD,,N,
445,TC_173,"Antioch College. Yellow Springs, Ohio.",8mm Cassette,"1979-11-24, 1979-11-25",1,TC_173_01,79112425 Piano in YSO (end of s 1) / Car radio distorted Delaware OH,14:57-17:23,02:25:00,HVD,14:57-17:23,Y,
446,TC_174,"Hallwalls Contemporary Art Center. Buffalo, New York.",8mm Cassette,1979-12-07,1,TC_174_02,791201 Farfisa Organ (& voice) Hallwalls / 791207 A,00:00-13:22,13:19:00,HVD,,,
