MATMOTW,OUI,NOTES,ORIGINAL_FORMAT,DATE,MATMOTW_PART,GB_FILE_NAME,TC_LABEL,START_TIME,TIMECODE_ELAPSED,CONVO_SILENCE,CORRECTED _START_TIME,REXPORTED,MASTERING_NOTES
72,TC_020,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-08-26,1,TC_020_01,770826 Tony-Piano Baldwin (s 1) (copy of Dans orig?) / Preston piano,00:00-30:16,30:07:00,CMA,,N,
73,TC_020,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-08-26,2,TC_020_02,770826 Tony-Piano Baldwin (s 1) (copy of Dans orig?) / Preston piano,00:30-10:45,10:04:00,Session break at 14:51? CMA,00:30-10:45,Y,
74,TC_021,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-17,1,TC_021_01,770917 1/2 Baldwin (s 1-Good! s 2-Not Too Great),00:00-15:30,15:26:00,CMA,,N,
75,TC_021,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-17,2,TC_021_01,770917 1/2 Baldwin (s 1-Good! s 2-Not Too Great),15:34-31:11,15:37:00,CMA,,N,
76,TC_021,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-17,3,TC_021_02,770917 1/2 Baldwin (s 1-Good! s 2-Not Too Great),00:02-08:52,08:49:00,CMA,,N,
77,TC_021,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-17,4,TC_021_02,770917 1/2 Baldwin (s 1-Good! s 2-Not Too Great),08:54-31:10,22:16:00,ANS,,N,
78,TC_022,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,1,TC_022_01,770918 A/B Baldwin Sunday (s 1-Slow Nice s 2-good santur style),00:08-31:20,31:10:00,ANS - no fade out,,N,
79,TC_022,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,2,TC_022_02,770918 A/B Baldwin Sunday (s 1-Slow Nice s 2-good santur style),00:04-03:12,03:05:00,ANS,,N,
80,TC_022,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,3,TC_022_02,770918 A/B Baldwin Sunday (s 1-Slow Nice s 2-good santur style),03:12-08:34,05:17:00,ANS,,N,
81,TC_022,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-09-18,4,TC_022_02,770918 A/B Baldwin Sunday (s 1-Slow Nice s 2-good santur style),08:38-13:09,04:30:00,ANS - 3:53 some talking,08:38-13:09,Y,
